id,name,price,count,35 (22cm),36 (22.5cm),36.5 (23cm),37 (23.5cm),37.5 (24cm),38 (24.5cm),38.5,39 (24.5cm),39.5 ,40 (25cm),40.5 (25.5cm),41 (26cm),41.5 (26.5cm),42 (27cm),42.5 (27.5cm),43 (28cm),44 (28.5cm),44.5 (29cm),45 (29.5cm),46 (30cm),46.5 (30.5cm),47 (31cm),48 (31.5cm),notes
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CONVERSE,,,,,,,,,,,,,,,,,,,,,,,,,,
,Converse Chuck Taylor 70,,,,,,,,,,,,,,,,,,,,,,,,,,
155575C,СЕРОЕ Classic (Conv) low,,2,,,,,,,,,,,,,,,,1,,,,1,,,,
163357C,МЯТА Classic (Conv),,7,,1,,2,,1,,2,1,,,,,,,,,,,,,,,
M9165,БЕЖЕВЫЙ Classic (Conv) low,,3,1,1,,1,,,,,,,,,,,,,,,,,,,,
547156C,Голубой Slim (Conv),,1,,,,1,,,,,,,,,,,,,,,,,,,,
543146C,Голубой Slim (Conv) Желтая стелька,,1,,,,1,,,,,,,,,,,,,,,,,,,,
170156С,ЛИМОН Classic (Conv) low,,4,,1,1,1,1,,,,,,,,,,,,,,,,,,,
170154C,ЛИМОН Classic (Conv) высокие,,3,,,1,,2,,,,,,,,,,,,,,,,,,,
151123С,красные All Stars 2,,1,,,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WINTER SALE,,,,,,,,,,,,,,,,,,,,,,,,,,
132128C,"CT HI ( Светло коричневый, подошва белая, кожа) ","р.4 900,00",2,,,,,,,,,,,,1,,,,,1,,,,,,,
132127С,"CT HI ( Темно коричневый,подошва белая,  кожа) ","р.3 900,00",0,,,,,,,,,,,,,,,,,,,,,,,,
139819С,"CT HI ( бежевый, замша)","р.4 900,00",4,,,,,1,,,1,2,,,,,,,,,,,,,,,
139814С,"CT HI (темно коричневый, подошва коричневая, кожа)","р.4 900,00",3,,,,,,,,1,,,,,,,,,1,,,1,,,,
160096С,"CTAS HI (серый , подошва белая, кожа) ","р.4 400,00",1,,,,,,,,,,,,1,,,,,,,,,,,,
149393С,"(бежевый, нубук, подошва белая ) ","р.3 900,00",1,,,,,,,,,,,,,,,,,,,,1,,,,
532327С,CT ALICE MID (розовый) ,"р.4 400,00",11,,1,,3,2,2,2,,,1,,,,,,,,,,,,,,
532323С,CT ALICE MID (черный) ,"р.3 900,00",8,,,,1,2,1,,3,,1,,,,,,,,,,,,,,
532324С,CT ALICE MID (белый) ,"р.4 400,00",2,,,,,,,,1,,1,,,,,,,,,,,,,,
144726C,"CT HI (черный, подошва белая, кожа)","р.4 400,00",1,1,,,,,,,,,,,,,,,,,,,,,,,
139817C,"CT HI (красный, замша)","р.4 400,00",1,,,,,,,,,,1,,,,,,,,,,,,,,
139991C,"CT HOLLIS HI (синий, замша)","р.4 900,00",1,,,,,,,,,,,,1,,,,,,,,,,,,
149725C,"CT HI STORM WIN (серый, лого серое, подошва белая, кожа)","р.4 400,00",1,,,,1,,,,,,,,,,,,,,,,,,,,
139990C,"CT HOLLIS HI (серый, замша)","р.4 900,00",1,,,,,,,,,,,,1,,,,,,,,,,,,
540398C,"башмак-сапог (коричневый, кожа)","р.3 900,00",1,,1,,,,,,,,,,,,,,,,,,,,,,
540400C,"башмак-сапог (серый, кожа)","р.3 900,00",1,,,,,,,,1,,,,,,,,,,,,,,,,
